Index,Input Text,Actual Label,Predicted Label,Confidence,Correct
1,[NEWS_IN] HUL shares block deal helps FPI investments into Indian equities turn positive in May,Positive,Positive,90.2%,✓
2,"[NEWS_IN] Rupee skids 13 paise to 73 . 51 per dollar amid weak equities , fund outflows",Negative,Negative,99.3%,✓
3,[NEWS_IN] India poised to be counted among top 3 nations : Rajnath Singh,Positive,Positive,99.5%,✓
4,[SOCIAL] Kohl's stock price target cut to $48 from $52 at Deutsche Bank,Negative,Negative,71.1%,✓
5,[NEWS_IN] Economics of climate change win Nobel Prize for US duo,Positive,Positive,98.2%,✓
6,[NEWS_IN] SEBI allows acceptance of client securities as collateral by way of title transfer till Au...,Negative,Positive,67.9%,✗
7,[NEWS_IN] Coronavirus fallout : Why small finance banks are in for big trouble,Negative,Negative,98.6%,✓
8,"[NEWS_IN] Sensex , Nifty start budget week on positive note , end at 3 - week closing highs ; key re...",Positive,Positive,98.7%,✓
9,"[NEWS_IN] News highlights of the day : Firms will now be able to pay PF dues , update ownership deta...",Positive,Positive,94.2%,✓
10,"[NEWS_IN] Modi to focus on infra spending , bet on real estate , cement and capital goods",Negative,Negative,99.2%,✓
11,[SOCIAL] Buffett-backed StoneCo jumps to 7-month high on solid growth https://t.co/JJ2dbxJbDp via @b...,Positive,Positive,94.4%,✓
12,[NEWS_IN] Fraudulent trading : Sebi slaps Rs 50 lakh fine on four individuals,Negative,Negative,99.1%,✓
13,[NEWS_IN] Mounting import of Vietnamese pepper via Sri Lanka worries India,Negative,Negative,99.1%,✓
14,"[NEWS_IN] ANAROCK to partner with local , global housing brokerage firms",Positive,Positive,99.2%,✓
15,[NEWS_IN] Here how Wall Street plans to deal with coronavirus,Negative,Positive,74.1%,✗
16,[NEWS_IN] The business of corporate social responsibility,Positive,Positive,97.9%,✓
17,"[NEWS_IN] After Saubhagya , will theft of electricity decline ; what Centre expects India to do",Negative,Negative,88.7%,✓
18,[NEWS_IN] SEBI orders special audit of 4 ICEX broking firms for alleged irregularities,Negative,Negative,99.0%,✓
19,[NEWS_IN] Asian shares near two - month highs ahead of US payrolls,Negative,Negative,71.4%,✓
20,"[NEWS_IN] Inside Santiniketan , a lonely , troubled VC",Positive,Negative,62.6%,✗
21,[SOCIAL] The Retiree's Dividend Portfolio - Jane's October Update: Taking Advantage Of Zero Cost Tra...,Neutral,Neutral,99.8%,✓
22,[NEWS_IN] Men in top management posts have twice the rate of attrition than women : Study,Negative,Positive,59.8%,✗
23,[NEWS_IN] Budget 2019 : Develop domestic capabilities to boost aviation,Positive,Positive,98.3%,✓
24,"[NEWS_IN] Rate hike seen weighing on firm borrowing , capex",Negative,Negative,98.1%,✓
25,[NEWS_IN] Gold prices are expected to trade lower today : Angel Commodities,Positive,Negative,57.6%,✗
26,[NEWS_IN] Xiaomi : IPO hopeful Xiaomi set to blow past 2017 revenue target,Positive,Negative,91.1%,✗
27,"[NEWS_IN] India a long - term investment for us , says IKEA global CEO Jesper Brodin",Positive,Positive,99.1%,✓
28,"[NEWS_IN] Govt set to release IIP , WPI new base year series",Positive,Positive,90.5%,✓
29,"[NEWS_IN] Pandemic triggers a wave of distress , bankruptcy in Corporate America",Negative,Negative,98.5%,✓
30,[NEWS_IN] Sensex ends nearly 150 points down as Wall Street drags global markets,Negative,Negative,98.7%,✓
31,[NEWS_IN] Donald Trump blocks Broadcom $117 billion bid for Qualcomm on  national security  concerns,Negative,Negative,99.3%,✓
32,[NEWS_IN] Technical View : Nifty forms  Doji  candle for second day ; keep a stop below 10K,Positive,Positive,95.1%,✓
33,[SOCIAL] Commercial paper outstanding â a measure of short-term promissory notes issued primarily ...,Neutral,Neutral,99.8%,✓
34,"[NEWS_IN] Karnataka polls verdict 2018 : With JD ( S ), Congress open for alliance , here an electio...",Positive,Positive,80.0%,✓
35,[NEWS_IN] Will set up JPC to probe demonetisation  scam : Manish Tewari,Negative,Positive,79.9%,✗
36,[NEWS_IN] Gold : Today Gold Price : Track today gold rate latest trends and news,Positive,Positive,99.4%,✓
37,[NEWS_IN] Ministers to brainstorm policy for an all,Positive,Positive,99.2%,✓
38,[NEWS_IN] Mutual Fund investment : Which mutual fund schemes should a student invest ?,Negative,Negative,67.9%,✓
39,"[NEWS_IN] Trump vows to stop China taking South China Sea islands ; Chinese media warns , act tantam...",Negative,Negative,98.8%,✓
40,[NEWS_IN] NAFTA must protect workers left behind by global economy : Justin Trudeau,Positive,Positive,99.0%,✓
41,[NEWS_IN] Indians among London fastest growing international students,Positive,Positive,99.5%,✓
42,[NEWS_IN] China $11 trillion economy and markets are in a tug of war,Negative,Negative,98.7%,✓
43,[NEWS_IN] Sanjeev Gupta Liberty House to acquire ArcelorMittal US unit,Negative,Negative,57.2%,✓
44,"[NEWS_IN] Gold forms bullish hammer ; may break out if resistance @ 38 , 100 is tested",Negative,Negative,98.5%,✓
45,[NEWS_IN] 5 stocks that are buzzing in market today amid a poor show by Sensex,Negative,Negative,98.0%,✓
46,"[NEWS_IN] OnePlus beats Samsung , Apple again in India premium smartphone market : Counterpoint",Positive,Positive,99.2%,✓
47,[NEWS_IN] Gainers & Losers : 10 Stocks That Moved The Most On December 22,Negative,Negative,95.9%,✓
48,"[SOCIAL] U.K. stocks rally, British pound recovers as optimism over possible virus containment offse...",Positive,Positive,82.6%,✓
49,[NEWS_IN] EXPLAINED : Onion prices may not fall anytime soon ; here why prices are on rise,Positive,Negative,58.1%,✗
50,[NEWS_IN] Catching Up With Peers - Business News,Positive,Positive,99.5%,✓
51,[NEWS_IN] Navy upgrading airfields with 24x7 surveillance and real - time alerting,Positive,Positive,95.5%,✓
52,"[NEWS_IN] RBI rate decision , macro data , global cues to set stock market trend",Positive,Positive,98.5%,✓
53,[NEWS_IN] GST : Rates on services will determine impact on inflation,Positive,Positive,82.0%,✓
54,"[NEWS_IN] Mastercard commits Rs 7 , 000 crore investment in India in next 5 years",Positive,Positive,98.9%,✓
55,"[NEWS_IN] EXCLUSIVE : SEBI , RBI may extend forex trading time to 8 pm from 5 pm now",Negative,Negative,85.8%,✓
56,"[NEWS_IN] Your food platter gets expensive amid lockdown , steep price rise in two common items",Negative,Negative,98.3%,✓
57,[NEWS_IN] India Inc topline growth to hit 5 - year high of 9 % in Q3,Positive,Positive,95.6%,✓
