epoch,train_loss,train_acc,test_acc,test_loss,f1_score,balanced_acc,batch_size,learning_rate,combo_key
1,1.0016589066695525,54.93746926157521,75.75878220140515,0.40371668581923326,76.38216880946068,83.4732687015236,64,1e-06,BS64_LR1e-06
2,0.3584429726322834,79.2219958312841,82.33021077283372,0.3092595708115907,82.78003343623433,87.60535815457237,64,1e-06,BS64_LR1e-06
3,0.30383401297091456,83.01716667837654,84.29508196721312,0.2792825135151426,84.63868655483368,88.71219988374808,64,1e-06,BS64_LR1e-06
4,0.27953606963983946,84.33628422211294,85.12646370023418,0.263116372860745,85.35827757992678,89.3023951518665,64,1e-06,BS64_LR1e-06
5,0.2610835935927456,85.34157708611443,85.7072599531616,0.25754815360118527,86.08740132817088,89.72070845485773,64,1e-06,BS64_LR1e-06
6,0.24826672782374035,86.11501440314761,86.01405152224825,0.2530733587075315,86.6328948326894,89.82156080411285,64,1e-06,BS64_LR1e-06
7,0.23858613968063,86.6946532705684,86.47540983606558,0.2482394305152629,87.02843712359261,90.11483264161137,64,1e-06,BS64_LR1e-06
8,0.2312624807863501,87.1923230052226,86.81030444964871,0.24645961912538478,87.53745925540929,90.17502881889868,64,1e-06,BS64_LR1e-06
9,0.22583641258824538,87.4675050937961,86.96252927400468,0.2447697999413142,87.78710935598167,90.28883031407526,64,1e-06,BS64_LR1e-06
10,0.21863382631538064,87.87910723904541,87.07728337236534,0.24316306256070108,87.89477286602705,90.40300906430674,64,1e-06,BS64_LR1e-06
11,0.21504745734719447,88.01025785147193,87.1288056206089,0.2418450612440973,87.84927915440318,90.5338140931207,64,1e-06,BS64_LR1e-06
12,0.21042834118890735,88.34164734537109,87.30913348946136,0.2405210557745067,88.02499630754754,90.60884233781859,64,1e-06,BS64_LR1e-06
13,0.20630580662519757,88.55418159675871,87.34894613583138,0.2433073095932692,88.21555218017251,90.45326765915412,64,1e-06,BS64_LR1e-06
14,0.2069646354587438,88.53134733834516,87.3864168618267,0.24189274491530335,88.2002176802185,90.54305971710113,64,1e-06,BS64_LR1e-06
15,0.20566381469128864,88.64493313660742,87.29742388758783,0.2428491582681319,88.11847887729701,90.48838712826853,64,1e-06,BS64_LR1e-06
