Index,Input Text,Actual Label,Predicted Label,Confidence,Correct
1,[NEWS_IN] HUL shares block deal helps FPI investments into Indian equities turn positive in May,Positive,Positive,100.0%,✓
2,"[NEWS_IN] Rupee skids 13 paise to 73 . 51 per dollar amid weak equities , fund outflows",Negative,Negative,100.0%,✓
3,[NEWS_IN] India poised to be counted among top 3 nations : Rajnath Singh,Positive,Positive,100.0%,✓
4,[SOCIAL] Kohl's stock price target cut to $48 from $52 at Deutsche Bank,Negative,Negative,100.0%,✓
5,[NEWS_IN] Economics of climate change win Nobel Prize for US duo,Positive,Positive,100.0%,✓
6,[NEWS_IN] SEBI allows acceptance of client securities as collateral by way of title transfer till Au...,Negative,Negative,100.0%,✓
7,[NEWS_IN] Coronavirus fallout : Why small finance banks are in for big trouble,Negative,Negative,100.0%,✓
8,"[NEWS_IN] Sensex , Nifty start budget week on positive note , end at 3 - week closing highs ; key re...",Positive,Positive,100.0%,✓
9,"[NEWS_IN] News highlights of the day : Firms will now be able to pay PF dues , update ownership deta...",Positive,Positive,100.0%,✓
10,"[NEWS_IN] Modi to focus on infra spending , bet on real estate , cement and capital goods",Negative,Negative,100.0%,✓
11,[SOCIAL] Buffett-backed StoneCo jumps to 7-month high on solid growth https://t.co/JJ2dbxJbDp via @b...,Positive,Positive,100.0%,✓
12,[NEWS_IN] Fraudulent trading : Sebi slaps Rs 50 lakh fine on four individuals,Negative,Negative,100.0%,✓
13,[NEWS_IN] Mounting import of Vietnamese pepper via Sri Lanka worries India,Negative,Negative,100.0%,✓
14,"[NEWS_IN] ANAROCK to partner with local , global housing brokerage firms",Positive,Positive,100.0%,✓
15,[NEWS_IN] Here how Wall Street plans to deal with coronavirus,Negative,Negative,52.5%,✓
16,[NEWS_IN] The business of corporate social responsibility,Positive,Positive,100.0%,✓
17,"[NEWS_IN] After Saubhagya , will theft of electricity decline ; what Centre expects India to do",Negative,Negative,100.0%,✓
18,[NEWS_IN] SEBI orders special audit of 4 ICEX broking firms for alleged irregularities,Negative,Negative,100.0%,✓
