epoch,train_loss,train_acc,test_acc,test_loss,f1_score,balanced_acc,batch_size,learning_rate,combo_key
1,0.5210034902957494,73.63462844563105,84.30444964871194,0.26403414881871845,84.50875281448332,89.06626948720836,128,2e-05,BS128_LR2e-05
2,0.23661470984698235,86.584580435139,86.55971896955504,0.23654435351937117,84.80122703936769,90.70781487627983,128,2e-05,BS128_LR2e-05
3,0.17341838295428494,90.40258554064498,88.31850117096019,0.23659047172098102,89.13279265481218,90.84632794639019,128,2e-05,BS128_LR2e-05
4,0.12112822815608443,93.48813789550107,88.30210772833723,0.26513145406713745,89.42706364502001,90.71043233790363,128,2e-05,BS128_LR2e-05
5,0.0833092512248942,95.72121126958477,88.60421545667447,0.3284846322309828,89.64613137647743,90.31959477151484,128,2e-05,BS128_LR2e-05
6,0.060928791304806086,96.90625073186726,88.41451990632319,0.3931151518743195,89.41046083953847,89.63526327474125,128,2e-05,BS128_LR2e-05
7,0.04605124732688739,97.7645846506944,88.83138173302108,0.44490804940372886,89.8172756313414,89.75762178922433,128,2e-05,BS128_LR2e-05
8,0.0351628819677616,98.33778308625494,88.80093676814988,0.4533367876387285,89.89141779041778,90.0684717457903,128,2e-05,BS128_LR2e-05
9,0.028702089268093308,98.68849387573479,88.81264637002342,0.4809592310450748,89.87653097020775,89.92466017291879,128,2e-05,BS128_LR2e-05
10,0.022553799086126536,98.94025621208928,88.82903981264637,0.5323293881858894,89.77442351253764,89.87490097115581,128,2e-05,BS128_LR2e-05
11,0.017890558694380297,99.19670249888756,88.89929742388759,0.5513598064997953,89.92081621496487,90.16545228147841,128,2e-05,BS128_LR2e-05
12,0.014707416048589989,99.3705941591138,88.82903981264637,0.5897642725599026,89.84421345202774,90.18512081659618,128,2e-05,BS128_LR2e-05
13,0.011905279280905602,99.4830089697651,88.77751756440281,0.6044769542749057,89.84955144453232,90.02905041443518,128,2e-05,BS128_LR2e-05
14,0.009444938974434507,99.59600927422188,88.8735362997658,0.6397389027172934,89.85101994496716,90.06670494401725,128,2e-05,BS128_LR2e-05
15,0.008278624252909978,99.64753272910373,88.88290398126463,0.6594769446971174,89.90550390517461,90.0233723681283,128,2e-05,BS128_LR2e-05
