epoch,train_loss,train_acc,test_acc,test_loss,f1_score,balanced_acc,batch_size,learning_rate,combo_key
1,0.39490693338243255,78.97667392678986,85.50819672131148,0.2541459539380973,85.42098909152315,89.55473390313186,128,0.0001,BS128_LR0.0001
2,0.2353657042712308,86.93412023700789,86.26229508196721,0.252734431985788,87.24210977224503,89.36122936995726,128,0.0001,BS128_LR0.0001
3,0.16577644021937463,91.33176420993466,86.74941451990632,0.253981044884035,87.40959156507176,90.01232080483739,128,0.0001,BS128_LR0.0001
4,0.10556490143921492,94.84882549942621,86.06791569086651,0.3475816829832728,87.62939207224359,89.48836075499375,128,0.0001,BS128_LR0.0001
5,0.07115010905222556,96.64746246984707,86.90632318501171,0.3592328375015787,88.2105049740948,89.37164962646253,128,0.0001,BS128_LR0.0001
6,0.05112944714313422,97.72769854094943,86.90632318501171,0.400876390184471,88.16470032050671,89.58229350975819,128,0.0001,BS128_LR0.0001
7,0.04057398174936475,98.29972598889904,87.07259953161592,0.47483164103266723,88.19312551268027,89.1742844339083,128,0.0001,BS128_LR0.0001
8,0.02865028589020382,98.8295978828544,86.8711943793911,0.6521423486490806,87.8667400849599,87.62890808832901,128,0.0001,BS128_LR0.0001
9,0.02272820988552704,99.11122040328813,86.96018735362998,0.5225064149293714,88.21126334298016,89.6132039754034,128,0.0001,BS128_LR0.0001
10,0.018575775777626338,99.31028829714981,87.14051522248243,0.622601322071281,88.16843302205659,88.56183014733828,128,0.0001,BS128_LR0.0001
11,0.012519431138024856,99.51579662287173,87.17096018735363,0.6279259616297163,88.47172609987945,89.24676254352853,128,0.0001,BS128_LR0.0001
12,0.007795255285066318,99.69905618398558,87.15456674473067,0.7465227862184276,88.24820389069495,88.61646985229262,128,0.0001,BS128_LR0.0001
13,0.004681015876977493,99.81908241410805,87.27868852459017,0.8174313226725883,88.37156502820022,88.46190894663626,128,0.0001,BS128_LR0.0001
14,0.0024818219335838365,99.89519660881987,87.41451990632318,0.8419438071861238,88.54786492975165,89.14121218993749,128,0.0001,BS128_LR0.0001
15,0.001291749898677637,99.94906203892363,87.40281030444964,0.9353856003123843,88.43243765678037,88.7543639529876,128,0.0001,BS128_LR0.0001
