Index,Input Text,Actual Label,Predicted Label,Confidence,Correct
1,[NEWS_IN] HUL shares block deal helps FPI investments into Indian equities turn positive in May,Positive,Positive,91.8%,✓
2,"[NEWS_IN] Rupee skids 13 paise to 73 . 51 per dollar amid weak equities , fund outflows",Negative,Negative,97.8%,✓
3,[NEWS_IN] India poised to be counted among top 3 nations : Rajnath Singh,Positive,Positive,96.8%,✓
4,[SOCIAL] Kohl's stock price target cut to $48 from $52 at Deutsche Bank,Negative,Negative,94.5%,✓
5,[NEWS_IN] Economics of climate change win Nobel Prize for US duo,Positive,Positive,92.7%,✓
6,[NEWS_IN] SEBI allows acceptance of client securities as collateral by way of title transfer till Au...,Negative,Negative,87.5%,✓
7,[NEWS_IN] Coronavirus fallout : Why small finance banks are in for big trouble,Negative,Negative,96.8%,✓
8,"[NEWS_IN] Sensex , Nifty start budget week on positive note , end at 3 - week closing highs ; key re...",Positive,Positive,93.4%,✓
9,"[NEWS_IN] News highlights of the day : Firms will now be able to pay PF dues , update ownership deta...",Positive,Positive,83.4%,✓
10,"[NEWS_IN] Modi to focus on infra spending , bet on real estate , cement and capital goods",Negative,Negative,97.2%,✓
11,[SOCIAL] Buffett-backed StoneCo jumps to 7-month high on solid growth https://t.co/JJ2dbxJbDp via @b...,Positive,Positive,89.0%,✓
12,[NEWS_IN] Fraudulent trading : Sebi slaps Rs 50 lakh fine on four individuals,Negative,Negative,97.9%,✓
13,[NEWS_IN] Mounting import of Vietnamese pepper via Sri Lanka worries India,Negative,Negative,97.6%,✓
14,"[NEWS_IN] ANAROCK to partner with local , global housing brokerage firms",Positive,Positive,95.8%,✓
15,[NEWS_IN] Here how Wall Street plans to deal with coronavirus,Negative,Negative,52.6%,✓
16,[NEWS_IN] The business of corporate social responsibility,Positive,Positive,89.2%,✓
17,"[NEWS_IN] After Saubhagya , will theft of electricity decline ; what Centre expects India to do",Negative,Negative,89.7%,✓
18,[NEWS_IN] SEBI orders special audit of 4 ICEX broking firms for alleged irregularities,Negative,Negative,96.9%,✓
19,[NEWS_IN] Asian shares near two - month highs ahead of US payrolls,Negative,Negative,66.3%,✓
20,"[NEWS_IN] Inside Santiniketan , a lonely , troubled VC",Positive,Negative,72.9%,✗
21,[SOCIAL] The Retiree's Dividend Portfolio - Jane's October Update: Taking Advantage Of Zero Cost Tra...,Neutral,Neutral,94.7%,✓
22,[NEWS_IN] Men in top management posts have twice the rate of attrition than women : Study,Negative,Negative,55.1%,✓
23,[NEWS_IN] Budget 2019 : Develop domestic capabilities to boost aviation,Positive,Positive,92.2%,✓
24,"[NEWS_IN] Rate hike seen weighing on firm borrowing , capex",Negative,Negative,96.1%,✓
25,[NEWS_IN] Gold prices are expected to trade lower today : Angel Commodities,Positive,Positive,80.4%,✓
26,[NEWS_IN] Xiaomi : IPO hopeful Xiaomi set to blow past 2017 revenue target,Positive,Negative,85.6%,✗
27,"[NEWS_IN] India a long - term investment for us , says IKEA global CEO Jesper Brodin",Positive,Positive,95.7%,✓
28,"[NEWS_IN] Govt set to release IIP , WPI new base year series",Positive,Positive,91.4%,✓
29,"[NEWS_IN] Pandemic triggers a wave of distress , bankruptcy in Corporate America",Negative,Negative,90.1%,✓
